group_name,folder_name,folder_value
any-oc-stuff,ASK,-2
fantastical-oc,ASK,-2
quality-anthros,ASK,-2
we-love-your-oc,ASK,-2
ocsandme,ASK,-2
oc-creatures-tavern,ASK,-2
ocs-forever,ASK,-2
anthro-fans-forever,ASK,-2
axls-anthro-gang,ASK,-2
scifi-anthro,ASK,-2
united-da-artists,ASK,-2
artistsrevealed,ASK,-2
fantendoinc,ASK,-2
fanart-lovers,ASK,-2
da-talent,ASK,-2
beginners-workshop,ASK,-2
digital-art-group,ASK,-2
artydelights,ASK,-2
digitalartistsftw,ASK,-2
digitall-soul,ASK,-2
world-gallery,ASK,-2
deviantartworldwide,ASK,-2
liveyourlifebfree,ASK,-2
all-deviantarts-art,ASK,-2
anime-manga-creation,ASK,-2
art-lat,ASK,-2
paintingdigital,ASK,-2
digitalmixedmedia,ASK,-2
all-art-is-great,ASK,-2
get-watchers,ASK,-2
artfavorite,ASK,-2
allartgallery,ASK,-2
accept-all-art,ASK,-2
digital-art-draw,ASK,-2
allartartists,ASK,-2
art-zone,ASK,-2
findmoreart,ASK,-2
the-art-group,ASK,-2
all-of-art,ASK,-2
all-deviants,ASK,-2
featureme,ASK,-2
aaa-art,ASK,-2
art-satisfaction,ASK,-2
all-artists,ASK,-2
thedigitalworldofart,ASK,-2
promoteart,ASK,-2
idigitalist,ASK,-2
supportallart,ASK,-2
fanartmatrix,ASK,-2
fanartistunited,ASK,-2
totalfanart,ASK,-2
artist-to-watchers,ASK,-2
fan-art-lovers-101,ASK,-2
the-world-of-fan-art,ASK,-2
fanartclassroom,ASK,-2
fans4ever,ASK,-2
nintendo-fc,ASK,-2
allart-r-us,ASK,-2
fanartsociety,ASK,-2
randomarttogether,ASK,-2
fanart-united,ASK,-2
animemanga-fanart,ASK,-2
fanart-forever,ASK,-2
fanart-are-art-too,ASK,-2
adopts-n-fanart,ASK,-2
national-fanart,ASK,-2
fanart-nation,ASK,-2
fanart-base,ASK,-2
fanart-fc,ASK,-2
everyonegetsfanart,ASK,-2
group-of-fanart,ASK,-2
fanart-lover,ASK,-2
artaroundthegalaxy,ASK,-2
art-of-all-kinds,ASK,-2
all-media-art,ASK,-2
fan-art-world,ASK,-2
everything-isart,ASK,-2
allartunited,ASK,-2
helpingart,ASK,-2
loveforyoungartists,ASK,-2
any-art-is-welcomed,ASK,-2
justanartgroup,ASK,-2
your-art-here,ASK,-2
allstuffandstuff,ASK,-2
all-art-wanted,ASK,-2
all-art-4-ever,ASK,-2
all-for-art,ASK,-2
drawingartists,ASK,-2
callingallartists,ASK,-2
allartandstuff,ASK,-2
deviantsshowcase,ASK,-2
allartandstuff,ASK,-2
weareinlovewithart,ASK,-2
love-for-all-art,ASK,-2
welcome-all-artists,ASK,-2
outstanding-artwork,ASK,-2
everything-central,ASK,-2
acceptallart,ASK,-2
deviantsgallery,ASK,-2
talented-hand,ASK,-2
every-type-of-art,ASK,-2
everyart,ASK,-2
everyartisagoodone,ASK,-2
allartiswelcomed,ASK,-2
arteverything,ASK,-2
disgruntledartists,ASK,-2
any-art-welcomed,ASK,-2
computerart,ASK,-2
graphictablets,ASK,-2
dreamyourart,ASK,-2
duelartist,ASK,-2
every-art-accepted,ASK,-2
creation-inspiration,ASK,-2
all-types,ASK,-2
newart-world,ASK,-2
drawcreateinspire,ASK,-2
allthingsart,ASK,-2
bornforart,ASK,-2
my-unique-art,ASK,-2
beautiful-creation,ASK,-2
drawing-maniacs,ASK,-2
artexposure,ASK,-2
allartistsunited,ASK,-2
digital-art-club,ASK,-2
digitallycreated,ASK,-2
artartists,ASK,-2
paintingsofthemind,ASK,-2
cleanfurries,ASK,-2
theanthroexchange,ASK,-2
anthrosketchbook,ASK,-2
furryaffinity,ASK,-2
finefurry,ASK,-2
anthrosunited,ASK,-2
furriesxbronies,ASK,-2
anthrouniversemax,ASK,-2
we-are-fursonas,ASK,-2
myfursonality,ASK,-2
skilled-anthros,ASK,-2
the-anthro-city,ASK,-2
anthrosanddragons,ASK,-2
the-undertale-club,ASK,-2
undertale-for-life,ASK,-2
undertale-fanz,ASK,-2
toriel-fanclub,ASK,-2
asriel-x-chara,ASK,-2
omegaundertalegroup,ASK,-2
the-trash-can,ASK,-2
undertalerp,ASK,-2
asriel-dreemurr-fans,ASK,-2
asriel-x-frisk-club,ASK,-2
asriel-fans,ASK,-2
royal-fluffybuns,ASK,-2
pokemonfansgroup,ASK,-2
pokemon-artist-club,ASK,-2
bulbagardenfanclub,ASK,-2
fakemon-fuzemon,ASK,-2
poketto-monsuta,ASK,-2
traditionalpokemon,ASK,-2
sonic-pokemon-fc,ASK,-2
oc-animals,ASK,-2
pokemon-fakemon,ASK,-2
rayquaza-fan-club,ASK,-2
pokemoncuties,ASK,-2
pokemonfusionart,ASK,-2
thepokemonrealm,ASK,-2
pkmnandfakemon,ASK,-2
pokecodes,ASK,-2
pokemonstarterclub,ASK,-2
p-o-k-e-m-o-n,ASK,-2
poke-masters,ASK,-2
extremepokemon,ASK,-2
pokemon-addicts,ASK,-2
p-o-k-e-m-o-n-club,ASK,-2
pokemonunity,ASK,-2
five-star-pokemon,ASK,-2
pokemonhq,ASK,-2
riolus-united,ASK,-2
pokemonfansforever,ASK,-2
sonic-pokemon,ASK,-2
dogandcatpokemonclub,ASK,-2
pokemons-fun,ASK,-2
pokenines,ASK,-2
undertalefanartgroup,ASK,-2
undertaleartists,ASK,-2
undertale-aus,ASK,-2
undertale-kingdom,ASK,-2
wearesansfans,ASK,-2
undertrash-fans,ASK,-2
theundertalefanclub,ASK,-2
under-memes,ASK,-2
theundertalefanclub,ASK,-2
undertale-game,ASK,-2
under-memes,ASK,-2
unlimitedundertale,ASK,-2
mtt-news,ASK,-2
unertale-fan,ASK,-2
stay-determined,ASK,-2
