group_name,folder_name,folder_value
pokemonloversforever,Kanto,39540542
my-pokemon,Fan Art,26667018
faith-fanclub,Featured,27012686
pokemon-jli,Pokemon- Every Region,26148180
pokemon-collections,Featured,29074228
pokemon-request,generation 1,28544442
pokemonsonictower,Pokemon,28143481
pokemon-commissions,Examples,28769807
pokemonranger-fc,OCs,31358423
pokemon-lostsilver,Other,31939792
pokemon-realm,OC's,40179581
traditional-pokemon,Generation I,30078395
blacknwhite-fanclub,Misc.,26873246
darkrelmpokemon,Other-Types of Pokemon,25754203
rosespokemonadopts,Featured,25868348
pokemonfakes,Featured,24469871
pokemon-generation,Other Fanart,28150026
da-mewtwo-department,Featured,21816289
7genfanclub,7Gen Pokemons,58815948
pokemon-ultralovers,Poke drawings,58589694
pkmnsunmoon,Pokemon Fanart,58001570
gogo-pokemon,OC Pokemon,58828850
pokemon-prime,Generation I,46295216
giftedpokemonartists,Actual Pokemon,26158444
firetypepokemonfans,Fakemons and Pokefusion,25806543
pokemon-battle-club,single battles,26065982
crliterature,UNUSED,-1
cutecritters,Fan Art,28272475
anthro-creation,UNUSED,-1
anthro-gratia-artis,UNUSED,-1
this-undertale,UNUSED,-1
theanimeshow,Pokemon,51792249
furries-for-life,Male Furries Devious Folder,57891297
artistunityclub,Fan Art,57004254
anthro-art-alley,Neo Fanart,32122404
any-oc-stuff,pokemon OC,44549886
fantastical-oc,Males,56961735
quality-anthros,Featured,54321384
we-love-your-oc,UNUSED,-1
ocsandme,Male,50989391
oc-creatures-tavern,Featured,44594217
ocs-forever,Featured 4,43612127
anthro-fans-forever,Other Species of Anthro,47802447
axls-anthro-gang,Canine,54178307
scifi-anthro,Fan art,52424904
hybridanthro,UNUSED,-1
united-da-artists,Fan Art,57580834
artistsrevealed,"Fanart, Fanfiction, and cosplay",39272794
fantendoinc,Featured,52585638
fanart-lovers,OCxCannon,24770715
da-talent,Digital,29829161
beginners-workshop,"Animals, Anthro- Digital",58129225
digital-art-group,Fan-Art,30990493
artydelights,Featured,24510818
digitalartistsftw,Fanart 4 FULL,57812158
digitall-soul,Featured,32358732
world-gallery,submit here,46417841
liveyourlifebfree,Fan Art,39051282
deviantartworldwide,Digital Artwork NEW,62453627
all-deviantarts-art,ASK,-2
anime-manga-creation,Fan Art III,58300044
writers-tique,UNUSED,-1
art-lat,Fan art,57121064
paintingdigital,Member Submissions,24182922
digitalmixedmedia,Other,45871026
all-art-is-great,OC Original Characters,61362380
get-watchers,Digital 8,60513018
artfavorite,All 8,55876189
digital-art-draw,OC 6,62474412
allartgallery,Mixed Media 2,57212783
accept-all-art,Fan Art 6,62426348
allartartists,Cartoons and Comics,31206549
art-zone,Fan Art,61671949
findmoreart,Digital Art,34469179
the-art-group,Digital art and animation 2,55995411
featureme,Fanart,30579139
all-of-art,Digital Art II,51411941
all-deviants,DigitalART,60130823
all-artists,Art Submissions III,61169874
aaa-art,Stock,27702727
art-satisfaction,Digital Art,25906129
thedigitalworldofart,Fan Art 5,62473968
promoteart,ASK,-2
idigitalist,Digital Drawings,61132570
supportallart,Fan Art,60900886
artist-to-watchers,Featured,55445318
totalfanart,Pokemon,54628192
fanartistunited,OCs Canon X OC,45368826
fanartmatrix,digital,42041411
fanartclassroom,Digital II,53485193
the-world-of-fan-art,OC fanarts 2,49568854
fan-art-lovers-101,oc's,36203336
fans4ever,Fan Art,49498981
nintendo-fc,Pokemon,61375137
allart-r-us,Digital Art,62453085
fanartsociety,Pokemon 8,62382871
randomarttogether,Fan Art,38432781
animemanga-fanart,Pokemon,55474867
fanart-forever,Featured,33704909
fanart-united,Featured,37241567
adopts-n-fanart,Featured,48094604
fanart-are-art-too,Other,45407056
fanart-fc,Ocs,41556255
fanart-base,ASK,-2
fanart-nation,Digital Art 2,59335410
national-fanart,Video games,52098530
