group_name,folder_name,folder_value
pkmnsunmoon,UNUSED,-1
gogo-pokemon,UNUSED,-1
pokemon-battle-club,UNUSED,-1
pokemon-prime,UNUSED,-1
giftedpokemonartists,UNUSED,-1
firetypepokemonfans,UNUSED,-1
crliterature,UNUSED,-1
cutecritters,Digital,23968927
anthro-creation,Fantasy Anthro Characters,25449839
anthro-gratia-artis,Anthro OCs,28529079
this-undertale,UNUSED,-1
theanimeshow,UNUSED,-1
furries-for-life,Male Furries Devious Folder,57891297
artistunityclub,Anthro,57004241
anthro-art-alley,Charater storys,32121524
any-oc-stuff,anthro OC,44048931
fantastical-oc,Males,56961735
quality-anthros,Featured,54321384
we-love-your-oc,Featured,26732267
ocsandme,Male,50989391
oc-creatures-tavern,Featured,44594217
ocs-forever,Featured 4,43612127
anthro-fans-forever,Anthro Mammals,47802436
axls-anthro-gang,Feline,54178594
scifi-anthro,Earth Anthro,52408397
united-da-artists,Digital Art,57580679
artistsrevealed,Digital Art 3,59983350
fantendoinc,UNUSED,-1
fanart-lovers,UNUSED,-1
da-talent,Digital,29829161
beginners-workshop,"Animals, Anthro- Digital",58129225
digital-art-group,Sci-fi Fantasy,26537794
artydelights,Featured,24510818
digitalartistsftw,Digital Paintings 7,62441241
digitall-soul,Featured,32358732
world-gallery,submit here,46417845
liveyourlifebfree,Digital,39051341
all-deviantarts-art,ASK,-2
deviantartworldwide,Digital Artwork NEW,62453627
anime-manga-creation,OC III,58300063
art-lat,Anthro,57121058
paintingdigital,Member Submissions,24182922
digitalmixedmedia,Digital art,58582909
all-art-is-great,anthro,36409644
get-watchers,Digital 8,60513018
artfavorite,Digital Art 11,55876195
digital-art-draw,OC5,56199886
allartgallery,Digital Art 4,57666097
accept-all-art,Digital Art 6,62426351
allartartists,Digital Art,31206324
art-zone,Anthro,59395331
findmoreart,Digital Art,34469179
the-art-group,Sci-Fi and Fantasy art 2,55995406
featureme,OCs,30718074
all-of-art,Digital Art II,51411941
all-deviants,DigitalART,60130823
all-artists,Art Submissions III,61169874
aaa-art,Digital Painting,27702688
art-satisfaction,Digital Art,25906129
thedigitalworldofart,Other Digital Art 3,62139709
promoteart,ASK,-2
idigitalist,Digital Drawings,61132570
supportallart,Digital Drawings and Paintings,60509951
artist-to-watchers,Featured,55445318
totalfanart,UNUSED,-1
fanartistunited,UNUSED,-1
fanartmatrix,UNUSED,-1
