group_name,folder_name,folder_value
darkrelmpokemon,UNUSED,-1
rosespokemonadopts,UNUSED,-1
pokemonfakes,UNUSED,-1
pokemon-generation,UNUSED,-1
da-mewtwo-department,UNUSED,-1
7genfanclub,UNUSED,-1
pokemon-ultralovers,UNUSED,-1
pkmnsunmoon,UNUSED,-1
gogo-pokemon,UNUSED,-1
pokemon-prime,UNUSED,-1
giftedpokemonartists,UNUSED,-1
firetypepokemonfans,UNUSED,-1
pokemon-battle-club,UNUSED,-1
crliterature,UNUSED,-1
cutecritters,UNUSED,-1
anthro-creation,UNUSED,-1
anthro-gratia-artis,UNUSED,-1
this-undertale,UNUSED,-1
theanimeshow,UNUSED,-1
furries-for-life,UNUSED,-1
artistunityclub,UNUSED,-1
anthro-art-alley,UNUSED,-1
any-oc-stuff,UNUSED,-1
fantastical-oc,UNUSED,-1
quality-anthros,UNUSED,-1
we-love-your-oc,UNUSED,-1
ocsandme,Stories,50989483
oc-creatures-tavern,UNUSED,-1
ocs-forever,Featured 4,43612127
anthro-fans-forever,UNUSED,-1
axls-anthro-gang,UNUSED,-1
scifi-anthro,UNUSED,-1
united-da-artists,Literature,57580726
artistsrevealed,Literature,37780674
fantendoinc,UNUSED,-1
fanart-lovers,UNUSED,-1
da-talent,Featured,25806855
beginners-workshop,Literature,58129257
digital-art-group,UNUSED,-1
artydelights,Featured,24510818
digitalartistsftw,UNUSED,-1
digitall-soul,UNUSED,-1
world-gallery,submit here,46417845
liveyourlifebfree,Literature,39094840
all-deviantarts-art,ASK,-2
deviantartworldwide,Literature NEW,61468628
anime-manga-creation,UNUSED,-1
art-lat,UNUSED,-1
paintingdigital,UNUSED,-1
digitalmixedmedia,UNUSED,-1
all-art-is-great,Literature,36409538
get-watchers,Literature,24722109
artfavorite,UNUSED,-1
digital-art-draw,UNUSED,-1
allartgallery,Literature,34144917
accept-all-art,Literature and Comics 2,62426380
allartartists,Literature,31473448
art-zone,Literature,45807256
findmoreart,UNUSED,-1
the-art-group,ASK,-2
featureme,Featured II,42688859
all-of-art,Literature,28389901
all-deviants,WritersART,30432228
all-artists,Art Submissions III,61169874
art-satisfaction,Literature,28449835
aaa-art,UNUSED,-1
thedigitalworldofart,UNUSED,-1
promoteart,ASK,-2
idigitalist,UNUSED,-1
supportallart,Literature,56340036
artist-to-watchers,Featured,55445318
totalfanart,UNUSED,-1
fanartistunited,UNUSED,-1
fanartmatrix,UNUSED,-1
the-world-of-fan-art,UNUSED,-1
fanartclassroom,UNUSED,-1
fan-art-lovers-101,UNUSED,-1
fans4ever,UNUSED,-1
nintendo-fc,UNUSED,-1
allart-r-us,Literature - ONLY prose - no journals,37153987
fanartsociety,UNUSED,-1
randomarttogether,UNUSED,-1
fanart-united,UNUSED,-1
animemanga-fanart,UNUSED,-1
fanart-forever,UNUSED,-1
fanart-are-art-too,UNUSED,-1
adopts-n-fanart,UNUSED,-1
fanart-fc,UNUSED,-1
fanart-base,UNUSED,-1
fanart-nation,UNUSED,-1
national-fanart,UNUSED,-1
everyonegetsfanart,UNUSED,-1
group-of-fanart,UNUSED,-1
fanart-lover,UNUSED,-1
artaroundthegalaxy,Writing,58326362
art-of-all-kinds,Literature,31669333
all-media-art,Literature,55784453
allartunited,LITERATURE,56460181
everything-isart,ASK,-2
fan-art-world,UNUSED,-1
any-art-is-welcomed,Writing,26699159
loveforyoungartists,All literature,32445004
helpingart,Other,55956678
justanartgroup,Literature and Journal Entries,39226455
your-art-here,Literature,45641394
allstuffandstuff,Literature 6,59554992
all-art-wanted,Literature OPEN,39598049
all-art-4-ever,Stories and Chapters 3,60844354
all-for-art,Literature,29923557
drawingartists,UNUSED,-1
callingallartists,Literature,41140118
love-for-all-art,Literature,42532202
we-want-your-art,Literature 2,57318000
deviantsshowcase,Literature 1,58233040
allartandstuff,Literature,53798301
love-for-all-art,Literature,42532202
welcome-all-artists,"Writing, Poetry, and One-Shots",26469494
outstanding-artwork,UNUSED,-1
everything-central,Literature,45942093
acceptallart,ASK,-2
deviantsgallery,Literature,31784749
everyart,Literature,28214809
every-type-of-art,litature,40261037
talented-hand,Literature,33787048
allartiswelcomed,UNUSED,-1
everyartisagoodone,Literature,28521283
arteverything,Literature 2,60316968
disgruntledartists,Literature,30916579
any-art-welcomed,Literature,26435093
computerart,UNUSED,-1
graphictablets,UNUSED,-1
dreamyourart,Literature,54127328
creation-inspiration,Literature,26280320
duelartist,UNUSED,-1
every-art-accepted,Literature,34286033
all-types,Literature,26443743
newart-world,UNUSED,-1
allthingsart,Literature,24522072
my-unique-art,Literature,26708566
drawcreateinspire,Literature,31943368
bornforart,UNUSED,-1
beautiful-creation,Misc,36190178
drawing-maniacs,UNUSED,-1
artexposure,UNUSED,-1
allartistsunited,UNUSED,-1
artartists,Literature,24935398
digitallycreated,UNUSED,-1
digital-art-club,UNUSED,-1
paintingsofthemind,UNUSED,-1
cleanfurries,UNUSED,-1
theanthroexchange,UNUSED,-1
anthrosketchbook,UNUSED,-1
furryaffinity,UNUSED,-1
finefurry,UNUSED,-1
anthrosunited,UNUSED,-1
furriesxbronies,UNUSED,-1
anthrouniversemax,UNUSED,-1
we-are-fursonas,UNUSED,-1
myfursonality,UNUSED,-1
skilled-anthros,UNUSED,-1
the-anthro-city,UNUSED,-1
anthrosanddragons,UNUSED,-1
the-undertale-club,UNUSED,-1
undertale-for-life,UNUSED,-1
undertale-fanz,UNUSED,-1
toriel-fanclub,UNUSED,-1
asriel-x-chara,UNUSED,-1
omegaundertalegroup,UNUSED,-1
the-trash-can,UNUSED,-1
undertalerp,UNUSED,-1
asriel-dreemurr-fans,UNUSED,-1
asriel-x-frisk-club,UNUSED,-1
asriel-fans,UNUSED,-1
royal-fluffybuns,UNUSED,-1
pokemonfansgroup,UNUSED,-1
bulbagardenfanclub,UNUSED,-1
pokemon-artist-club,UNUSED,-1
fakemon-fuzemon,UNUSED,-1
poketto-monsuta,UNUSED,-1
traditionalpokemon,UNUSED,-1
sonic-pokemon-fc,UNUSED,-1
oc-animals,UNUSED,-1
pokemon-fakemon,UNUSED,-1
rayquaza-fan-club,UNUSED,-1
pokemoncuties,UNUSED,-1
pokemonfusionart,UNUSED,-1
thepokemonrealm,UNUSED,-1
pkmnandfakemon,UNUSED,-1
pokecodes,UNUSED,-1
pokemonstarterclub,UNUSED,-1
p-o-k-e-m-o-n,UNUSED,-1
poke-masters,UNUSED,-1
extremepokemon,UNUSED,-1
pokemon-addicts,UNUSED,-1
p-o-k-e-m-o-n-club,UNUSED,-1
pokemonunity,UNUSED,-1
